Data type;Azimuth [0.360);Dip [0.90];Dip direction;Rake [0.90];Strike direction;Striation trend [0.360);Sense of mouvement;Stylolite Teeth trend [0.360);Stylolite Teeth plunge [0.90]
Extension Fracture;153.8321886;90;;;;;;;
Extension Fracture;153.8512111;90;;;;;;;
Extension Fracture;153.8321886;90;;;;;;;
Extension Fracture;153.8512111;90;;;;;;;
Extension Fracture;173.1782761;90;;;;;;;
Extension Fracture;174.876611;90;;;;;;;
Extension Fracture;176.6772007;90;;;;;;;
Extension Fracture;173.1782761;90;;;;;;;
Extension Fracture;176.6772007;90;;;;;;;
Extension Fracture;174.876611;90;;;;;;;
Extension Fracture;170.6372847;90;;;;;;;
Extension Fracture;170.6372847;90;;;;;;;
Extension Fracture;170.6512883;90;;;;;;;
Extension Fracture;170.6238758;90;;;;;;;
Extension Fracture;170.6512883;90;;;;;;;
Extension Fracture;170.6238758;90;;;;;;;
Extension Fracture;152.1739809;90;;;;;;;
Extension Fracture;152.1579176;90;;;;;;;
Extension Fracture;152.1739809;90;;;;;;;
Extension Fracture;152.1411806;90;;;;;;;
Extension Fracture;152.1411806;90;;;;;;;
Extension Fracture;152.1579176;90;;;;;;;
Extension Fracture;154.26186;90;;;;;;;
Extension Fracture;154.2701232;90;;;;;;;
Extension Fracture;154.275297;90;;;;;;;
Extension Fracture;154.275297;90;;;;;;;
Extension Fracture;154.26186;90;;;;;;;
Extension Fracture;154.2701232;90;;;;;;;
Extension Fracture;157.8324697;90;;;;;;;
Extension Fracture;157.8324697;90;;;;;;;
Extension Fracture;160.6722591;90;;;;;;;
Extension Fracture;160.7313023;90;;;;;;;
Extension Fracture;160.6722591;90;;;;;;;
Extension Fracture;160.7313023;90;;;;;;;
Extension Fracture;168.5593926;90;;;;;;;
Extension Fracture;168.5596296;90;;;;;;;
Extension Fracture;166.9384803;90;;;;;;;
Extension Fracture;165.0727285;90;;;;;;;
Extension Fracture;165.0727285;90;;;;;;;
Extension Fracture;168.5596296;90;;;;;;;
Extension Fracture;166.9384803;90;;;;;;;
Extension Fracture;168.5593926;90;;;;;;;
