Data type;Azimuth [0.360);Dip [0.90];Dip direction;Rake [0.90];Strike direction;Striation trend [0.360);Sense of mouvement;Stylolite Teeth trend [0.360);Stylolite Teeth plunge [0.90]
Stylolite Interface;70.3509562;90;;;;;;;
Stylolite Interface;69.22382491;90;;;;;;;
Stylolite Interface;70.3509562;90;;;;;;;
Stylolite Interface;69.22382491;90;;;;;;;
Stylolite Interface;113.0213536;90;;;;;;;
Stylolite Interface;113.0295187;90;;;;;;;
Stylolite Interface;113.0295187;90;;;;;;;
Stylolite Interface;113.0213536;90;;;;;;;
Stylolite Interface;96.02874293;90;;;;;;;
Stylolite Interface;95.98075409;90;;;;;;;
Stylolite Interface;96.02874293;90;;;;;;;
Stylolite Interface;95.98075409;90;;;;;;;
Stylolite Interface;101.4313906;90;;;;;;;
Stylolite Interface;101.4671404;90;;;;;;;
Stylolite Interface;101.4671404;90;;;;;;;
Stylolite Interface;101.4313906;90;;;;;;;
Stylolite Interface;88.20711831;90;;;;;;;
Stylolite Interface;88.2463671;90;;;;;;;
Stylolite Interface;88.20711831;90;;;;;;;
Stylolite Interface;88.2463671;90;;;;;;;
Stylolite Interface;105.9358927;90;;;;;;;
Stylolite Interface;105.9358927;90;;;;;;;
Stylolite Interface;85.71132353;90;;;;;;;
Stylolite Interface;85.71132353;90;;;;;;;
Stylolite Interface;85.71132353;90;;;;;;;
Stylolite Interface;85.71132353;90;;;;;;;
Stylolite Interface;228.5903296;90;;;;;;;
Stylolite Interface;228.5590268;90;;;;;;;
Stylolite Interface;228.5590268;90;;;;;;;
Stylolite Interface;228.5903296;90;;;;;;;
Stylolite Interface;108.433749;90;;;;;;;
Stylolite Interface;108.433749;90;;;;;;;
Stylolite Interface;98.68992382;90;;;;;;;
Stylolite Interface;98.69257312;90;;;;;;;
Stylolite Interface;98.68992382;90;;;;;;;
Stylolite Interface;98.69257312;90;;;;;;;
Stylolite Interface;111.3684755;90;;;;;;;
Stylolite Interface;111.3684755;90;;;;;;;
Stylolite Interface;67.26765411;90;;;;;;;
Stylolite Interface;67.26765411;90;;;;;;;
Stylolite Interface;91.15872891;90;;;;;;;
Stylolite Interface;91.20435416;90;;;;;;;
Stylolite Interface;91.15872891;90;;;;;;;
Stylolite Interface;91.20435416;90;;;;;;;
Stylolite Interface;103.996768;90;;;;;;;
Stylolite Interface;103.996768;90;;;;;;;
Stylolite Interface;51.94469207;90;;;;;;;
Stylolite Interface;51.94469207;90;;;;;;;
Stylolite Interface;79.77113139;90;;;;;;;
Stylolite Interface;79.79004392;90;;;;;;;
Stylolite Interface;79.79004392;90;;;;;;;
Stylolite Interface;79.77113139;90;;;;;;;
Stylolite Interface;74.91781839;90;;;;;;;
Stylolite Interface;74.91781839;90;;;;;;;
Stylolite Interface;74.91781839;90;;;;;;;
Stylolite Interface;74.91781839;90;;;;;;;
Stylolite Interface;75.37301355;90;;;;;;;
Stylolite Interface;75.37301355;90;;;;;;;
Stylolite Interface;75.37301355;90;;;;;;;
Stylolite Interface;75.37301355;90;;;;;;;
Stylolite Interface;279.3534611;90;;;;;;;
Stylolite Interface;279.3534611;90;;;;;;;
Stylolite Interface;104.7459237;90;;;;;;;
Stylolite Interface;104.7459237;90;;;;;;;
Stylolite Interface;48.64962842;90;;;;;;;
Stylolite Interface;48.64962842;90;;;;;;;
Stylolite Interface;107.2855057;90;;;;;;;
Stylolite Interface;107.2774565;90;;;;;;;
Stylolite Interface;107.2774565;90;;;;;;;
Stylolite Interface;107.2855057;90;;;;;;;
Stylolite Interface;83.35982701;90;;;;;;;
Stylolite Interface;83.40489574;90;;;;;;;
Stylolite Interface;83.40489574;90;;;;;;;
Stylolite Interface;83.35982701;90;;;;;;;
Stylolite Interface;100.9589969;90;;;;;;;
Stylolite Interface;100.9589969;90;;;;;;;
Stylolite Interface;52.13423708;90;;;;;;;
Stylolite Interface;52.13423708;90;;;;;;;
Stylolite Interface;47.38532071;90;;;;;;;
Stylolite Interface;47.38532071;90;;;;;;;
Stylolite Interface;283.1607944;90;;;;;;;
Stylolite Interface;283.1607944;90;;;;;;;
Stylolite Interface;225.0070786;90;;;;;;;
Stylolite Interface;225.0070786;90;;;;;;;
Stylolite Interface;83.92692103;90;;;;;;;
Stylolite Interface;83.92696396;90;;;;;;;
Stylolite Interface;83.92696396;90;;;;;;;
Stylolite Interface;83.92692103;90;;;;;;;
Stylolite Interface;246.243737;90;;;;;;;
Stylolite Interface;246.243737;90;;;;;;;
Stylolite Interface;67.82994683;90;;;;;;;
Stylolite Interface;57.52632442;90;;;;;;;
Stylolite Interface;57.52632442;90;;;;;;;
Stylolite Interface;67.82994683;90;;;;;;;
Stylolite Interface;68.76579409;90;;;;;;;
Stylolite Interface;68.76579409;90;;;;;;;
Stylolite Interface;72.82611737;90;;;;;;;
Stylolite Interface;63.7330904;90;;;;;;;
Stylolite Interface;63.73144661;90;;;;;;;
Stylolite Interface;63.7330904;90;;;;;;;
Stylolite Interface;72.82611737;90;;;;;;;
Stylolite Interface;73.30621747;90;;;;;;;
Stylolite Interface;73.30621747;90;;;;;;;
Stylolite Interface;63.73144661;90;;;;;;;
Stylolite Interface;67.26700076;90;;;;;;;
Stylolite Interface;67.24658273;90;;;;;;;
Stylolite Interface;67.24658273;90;;;;;;;
Stylolite Interface;67.26700076;90;;;;;;;
Stylolite Interface;64.50549652;90;;;;;;;
Stylolite Interface;62.83494849;90;;;;;;;
Stylolite Interface;62.96356688;90;;;;;;;
Stylolite Interface;62.96356688;90;;;;;;;
Stylolite Interface;62.83494849;90;;;;;;;
Stylolite Interface;64.50549652;90;;;;;;;
Stylolite Interface;65.57868559;90;;;;;;;
Stylolite Interface;46.27991277;90;;;;;;;
Stylolite Interface;46.27991277;90;;;;;;;
Stylolite Interface;65.57868559;90;;;;;;;
Stylolite Interface;73.05232075;90;;;;;;;
Stylolite Interface;73.08858979;90;;;;;;;
Stylolite Interface;73.08858979;90;;;;;;;
Stylolite Interface;73.05232075;90;;;;;;;
Stylolite Interface;236.598172;90;;;;;;;
Stylolite Interface;236.598172;90;;;;;;;
Stylolite Interface;236.6282618;90;;;;;;;
Stylolite Interface;236.6282618;90;;;;;;;
Stylolite Interface;73.76028221;90;;;;;;;
Stylolite Interface;73.72444941;90;;;;;;;
Stylolite Interface;73.76028221;90;;;;;;;
Stylolite Interface;73.72444941;90;;;;;;;
Stylolite Interface;46.92576473;90;;;;;;;
Stylolite Interface;46.92576473;90;;;;;;;
Stylolite Interface;46.89570191;90;;;;;;;
Stylolite Interface;46.89570191;90;;;;;;;
Stylolite Interface;84.12409969;90;;;;;;;
Stylolite Interface;84.12409969;90;;;;;;;
Stylolite Interface;84.12385634;90;;;;;;;
Stylolite Interface;84.12385634;90;;;;;;;
Stylolite Interface;76.44573351;90;;;;;;;
Stylolite Interface;76.44573351;90;;;;;;;
Stylolite Interface;62.45323779;90;;;;;;;
Stylolite Interface;62.45323779;90;;;;;;;
Stylolite Interface;62.45323779;90;;;;;;;
Stylolite Interface;62.45323779;90;;;;;;;
Stylolite Interface;64.21149121;90;;;;;;;
Stylolite Interface;64.21149121;90;;;;;;;
Stylolite Interface;64.21149121;90;;;;;;;
Stylolite Interface;64.21149121;90;;;;;;;
Stylolite Interface;62.52071292;90;;;;;;;
Stylolite Interface;64.21076657;90;;;;;;;
Stylolite Interface;62.52071292;90;;;;;;;
Stylolite Interface;64.21076657;90;;;;;;;
Stylolite Interface;76.75733351;90;;;;;;;
Stylolite Interface;76.06330986;90;;;;;;;
Stylolite Interface;76.75733351;90;;;;;;;
Stylolite Interface;76.06330986;90;;;;;;;
Stylolite Interface;71.55122068;90;;;;;;;
Stylolite Interface;71.55122068;90;;;;;;;
Stylolite Interface;71.55122068;90;;;;;;;
Stylolite Interface;71.55122068;90;;;;;;;
Stylolite Interface;68.25029984;90;;;;;;;
Stylolite Interface;68.28811966;90;;;;;;;
Stylolite Interface;68.25029984;90;;;;;;;
Stylolite Interface;68.28811966;90;;;;;;;
Stylolite Interface;78.98279577;90;;;;;;;
Stylolite Interface;76.88487442;90;;;;;;;
Stylolite Interface;78.98279577;90;;;;;;;
Stylolite Interface;78.20613442;90;;;;;;;
Stylolite Interface;76.88487442;90;;;;;;;
Stylolite Interface;78.20613442;90;;;;;;;
Stylolite Interface;72.48582718;90;;;;;;;
Stylolite Interface;72.48582718;90;;;;;;;
Stylolite Interface;69.54263671;90;;;;;;;
Stylolite Interface;69.54263671;90;;;;;;;
Stylolite Interface;72.65546002;90;;;;;;;
Stylolite Interface;72.65546002;90;;;;;;;
Stylolite Interface;78.50273612;90;;;;;;;
Stylolite Interface;78.46361507;90;;;;;;;
Stylolite Interface;78.50273612;90;;;;;;;
Stylolite Interface;78.46361507;90;;;;;;;
Stylolite Interface;87.32742316;90;;;;;;;
Stylolite Interface;87.37315532;90;;;;;;;
Stylolite Interface;87.37315532;90;;;;;;;
Stylolite Interface;87.32742316;90;;;;;;;
Stylolite Interface;98.00761362;90;;;;;;;
Stylolite Interface;98.00761362;90;;;;;;;
Stylolite Interface;101.8645846;90;;;;;;;
Stylolite Interface;101.8645846;90;;;;;;;
Stylolite Interface;58.94388278;90;;;;;;;
Stylolite Interface;58.94388278;90;;;;;;;
Stylolite Interface;64.97414429;90;;;;;;;
Stylolite Interface;65.00961364;90;;;;;;;
Stylolite Interface;64.97414429;90;;;;;;;
Stylolite Interface;65.00961364;90;;;;;;;
Stylolite Interface;77.60106164;90;;;;;;;
Stylolite Interface;77.60106164;90;;;;;;;
Stylolite Interface;77.64591556;90;;;;;;;
Stylolite Interface;77.64591556;90;;;;;;;
Stylolite Interface;63.60129252;90;;;;;;;
Stylolite Interface;63.60129252;90;;;;;;;
Stylolite Interface;63.3517768;90;;;;;;;
Stylolite Interface;63.3517768;90;;;;;;;
Stylolite Interface;63.3517768;90;;;;;;;
Stylolite Interface;63.3517768;90;;;;;;;
Stylolite Interface;74.11444301;90;;;;;;;
Stylolite Interface;74.11444301;90;;;;;;;
Stylolite Interface;68.05416526;90;;;;;;;
Stylolite Interface;68.05416526;90;;;;;;;
Stylolite Interface;67.17977714;90;;;;;;;
Stylolite Interface;74.11621844;90;;;;;;;
Stylolite Interface;67.17977714;90;;;;;;;
Stylolite Interface;74.11621844;90;;;;;;;
Stylolite Interface;86.55156921;90;;;;;;;
Stylolite Interface;84.38112604;90;;;;;;;
Stylolite Interface;86.55156921;90;;;;;;;
Stylolite Interface;84.38112604;90;;;;;;;
Stylolite Interface;85.58564697;90;;;;;;;
Stylolite Interface;77.60038168;90;;;;;;;
Stylolite Interface;95.5996114;90;;;;;;;
Stylolite Interface;77.60038168;90;;;;;;;
Stylolite Interface;95.5996114;90;;;;;;;
Stylolite Interface;80.33038014;90;;;;;;;
Stylolite Interface;85.58564697;90;;;;;;;
Stylolite Interface;80.33038014;90;;;;;;;
Stylolite Interface;99.31039208;90;;;;;;;
Stylolite Interface;99.31231256;90;;;;;;;
Stylolite Interface;99.31268924;90;;;;;;;
Stylolite Interface;99.31268924;90;;;;;;;
Stylolite Interface;99.31039208;90;;;;;;;
Stylolite Interface;99.31231256;90;;;;;;;
Stylolite Interface;69.75993623;90;;;;;;;
Stylolite Interface;69.75993623;90;;;;;;;
Stylolite Interface;69.79771864;90;;;;;;;
Stylolite Interface;69.79771864;90;;;;;;;
Stylolite Interface;79.83840983;90;;;;;;;
Stylolite Interface;79.83840983;90;;;;;;;
Stylolite Interface;78.0257493;90;;;;;;;
Stylolite Interface;78.0257493;90;;;;;;;
Stylolite Interface;55.89767496;90;;;;;;;
Stylolite Interface;55.90172136;90;;;;;;;
Stylolite Interface;55.89767496;90;;;;;;;
Stylolite Interface;55.90172136;90;;;;;;;
Stylolite Interface;78.8455194;90;;;;;;;
Stylolite Interface;82.1595567;90;;;;;;;
Stylolite Interface;73.35948581;90;;;;;;;
Stylolite Interface;73.35948581;90;;;;;;;
Stylolite Interface;82.1595567;90;;;;;;;
Stylolite Interface;78.8455194;90;;;;;;;
Stylolite Interface;77.03322328;90;;;;;;;
Stylolite Interface;76.98670371;90;;;;;;;
Stylolite Interface;77.03322328;90;;;;;;;
Stylolite Interface;76.98670371;90;;;;;;;
Stylolite Interface;73.09555294;90;;;;;;;
Stylolite Interface;73.05639094;90;;;;;;;
Stylolite Interface;73.09555294;90;;;;;;;
Stylolite Interface;73.05639094;90;;;;;;;
Stylolite Interface;67.88825978;90;;;;;;;
Stylolite Interface;67.88825978;90;;;;;;;
Stylolite Interface;57.25731693;90;;;;;;;
Stylolite Interface;70.20620089;90;;;;;;;
Stylolite Interface;70.20620089;90;;;;;;;
Stylolite Interface;57.25731693;90;;;;;;;
Stylolite Interface;81.63338293;90;;;;;;;
Stylolite Interface;81.63338293;90;;;;;;;
Stylolite Interface;81.04909422;90;;;;;;;
Stylolite Interface;81.04924504;90;;;;;;;
Stylolite Interface;75.82268748;90;;;;;;;
Stylolite Interface;81.04909422;90;;;;;;;
Stylolite Interface;81.04924504;90;;;;;;;
Stylolite Interface;77.75031511;90;;;;;;;
Stylolite Interface;75.82268748;90;;;;;;;
Stylolite Interface;77.75031511;90;;;;;;;
Stylolite Interface;74.80153469;90;;;;;;;
Stylolite Interface;70.87644093;90;;;;;;;
Stylolite Interface;74.80153469;90;;;;;;;
Stylolite Interface;70.87644093;90;;;;;;;
Stylolite Interface;57.01582139;90;;;;;;;
Stylolite Interface;57.01582139;90;;;;;;;
Stylolite Interface;57.04713816;90;;;;;;;
Stylolite Interface;57.04713816;90;;;;;;;
Stylolite Interface;49.55197231;90;;;;;;;
Stylolite Interface;49.55197231;90;;;;;;;
Stylolite Interface;49.59926523;90;;;;;;;
Stylolite Interface;49.59926523;90;;;;;;;
Stylolite Interface;69.56774743;90;;;;;;;
Stylolite Interface;69.60469688;90;;;;;;;
Stylolite Interface;69.56774743;90;;;;;;;
Stylolite Interface;69.60469688;90;;;;;;;
Stylolite Interface;63.84590422;90;;;;;;;
Stylolite Interface;63.84590422;90;;;;;;;
Stylolite Interface;57.28392328;90;;;;;;;
Stylolite Interface;57.28392328;90;;;;;;;
Stylolite Interface;82.73959832;90;;;;;;;
Stylolite Interface;82.73959832;90;;;;;;;
Stylolite Interface;82.73959832;90;;;;;;;
Stylolite Interface;82.73959832;90;;;;;;;
Stylolite Interface;57.92638443;90;;;;;;;
Stylolite Interface;42.8118539;90;;;;;;;
Stylolite Interface;50.84189838;90;;;;;;;
Stylolite Interface;42.8118539;90;;;;;;;
Stylolite Interface;57.92638443;90;;;;;;;
Stylolite Interface;42.81252063;90;;;;;;;
Stylolite Interface;57.92457833;90;;;;;;;
Stylolite Interface;57.92457833;90;;;;;;;
Stylolite Interface;42.81252063;90;;;;;;;
Stylolite Interface;50.84189838;90;;;;;;;
Stylolite Interface;58.64820558;90;;;;;;;
Stylolite Interface;58.64820558;90;;;;;;;
Stylolite Interface;83.33923187;90;;;;;;;
Stylolite Interface;83.30669408;90;;;;;;;
Stylolite Interface;83.30669408;90;;;;;;;
Stylolite Interface;83.33923187;90;;;;;;;
Stylolite Interface;71.95946223;90;;;;;;;
Stylolite Interface;72.00489184;90;;;;;;;
Stylolite Interface;71.95946223;90;;;;;;;
Stylolite Interface;72.00489184;90;;;;;;;
Stylolite Interface;100.4024621;90;;;;;;;
Stylolite Interface;100.4002134;90;;;;;;;
Stylolite Interface;100.4002134;90;;;;;;;
Stylolite Interface;100.4024621;90;;;;;;;
Stylolite Interface;88.72908299;90;;;;;;;
Stylolite Interface;88.72908299;90;;;;;;;
Stylolite Interface;88.78222781;90;;;;;;;
Stylolite Interface;88.78222781;90;;;;;;;
Stylolite Interface;77.94753844;90;;;;;;;
Stylolite Interface;77.94287529;90;;;;;;;
Stylolite Interface;77.94287529;90;;;;;;;
Stylolite Interface;77.94753844;90;;;;;;;
Stylolite Interface;85.1608922;90;;;;;;;
Stylolite Interface;85.1608922;90;;;;;;;
Stylolite Interface;85.11980237;90;;;;;;;
Stylolite Interface;85.11980237;90;;;;;;;
Stylolite Interface;91.10190168;90;;;;;;;
Stylolite Interface;84.9889049;90;;;;;;;
Stylolite Interface;91.10190168;90;;;;;;;
Stylolite Interface;84.9889049;90;;;;;;;
Stylolite Interface;66.44337849;90;;;;;;;
Stylolite Interface;66.41253625;90;;;;;;;
Stylolite Interface;66.41253625;90;;;;;;;
Stylolite Interface;66.44337849;90;;;;;;;
Stylolite Interface;76.48812046;90;;;;;;;
Stylolite Interface;76.49646544;90;;;;;;;
Stylolite Interface;76.48812046;90;;;;;;;
Stylolite Interface;76.49646544;90;;;;;;;
Stylolite Interface;85.22773908;90;;;;;;;
Stylolite Interface;85.22284422;90;;;;;;;
Stylolite Interface;85.22284422;90;;;;;;;
Stylolite Interface;85.22773908;90;;;;;;;
Stylolite Interface;251.9088281;90;;;;;;;
Stylolite Interface;257.8744007;90;;;;;;;
Stylolite Interface;257.8744007;90;;;;;;;
Stylolite Interface;251.9088281;90;;;;;;;
Stylolite Interface;81.97663077;90;;;;;;;
Stylolite Interface;81.9361045;90;;;;;;;
Stylolite Interface;81.9361045;90;;;;;;;
Stylolite Interface;81.97663077;90;;;;;;;
Stylolite Interface;55.28953677;90;;;;;;;
Stylolite Interface;55.28953677;90;;;;;;;
Stylolite Interface;86.95821488;90;;;;;;;
Stylolite Interface;84.54715518;90;;;;;;;
Stylolite Interface;86.95821488;90;;;;;;;
Stylolite Interface;84.54715518;90;;;;;;;
Stylolite Interface;78.24908952;90;;;;;;;
Stylolite Interface;84.23653663;90;;;;;;;
Stylolite Interface;84.23653663;90;;;;;;;
Stylolite Interface;78.24908952;90;;;;;;;
Stylolite Interface;258.0705311;90;;;;;;;
Stylolite Interface;258.068569;90;;;;;;;
Stylolite Interface;258.068569;90;;;;;;;
Stylolite Interface;258.0705311;90;;;;;;;
Stylolite Interface;71.45085701;90;;;;;;;
Stylolite Interface;71.45085701;90;;;;;;;
Stylolite Interface;71.90005343;90;;;;;;;
Stylolite Interface;71.90005343;90;;;;;;;
Stylolite Interface;75.05863315;90;;;;;;;
Stylolite Interface;75.05863315;90;;;;;;;
Stylolite Interface;75.10108545;90;;;;;;;
Stylolite Interface;75.10108545;90;;;;;;;
Stylolite Interface;73.0577178;90;;;;;;;
Stylolite Interface;73.09306428;90;;;;;;;
Stylolite Interface;73.0577178;90;;;;;;;
Stylolite Interface;73.09306428;90;;;;;;;
Stylolite Interface;87.94646834;90;;;;;;;
Stylolite Interface;92.05340561;90;;;;;;;
Stylolite Interface;92.05340561;90;;;;;;;
Stylolite Interface;87.94646834;90;;;;;;;
Stylolite Interface;77.48050244;90;;;;;;;
Stylolite Interface;77.48050244;90;;;;;;;
Stylolite Interface;77.48106625;90;;;;;;;
Stylolite Interface;77.48106625;90;;;;;;;
Stylolite Interface;108.4412701;90;;;;;;;
Stylolite Interface;108.4412701;90;;;;;;;
Stylolite Interface;70.70906484;90;;;;;;;
Stylolite Interface;70.26648185;90;;;;;;;
Stylolite Interface;70.26648185;90;;;;;;;
Stylolite Interface;70.70906484;90;;;;;;;
Stylolite Interface;75.96262811;90;;;;;;;
Stylolite Interface;75.96262811;90;;;;;;;
Stylolite Interface;75.96262811;90;;;;;;;
Stylolite Interface;75.96262811;90;;;;;;;
Stylolite Interface;233.6738204;90;;;;;;;
Stylolite Interface;233.655616;90;;;;;;;
Stylolite Interface;233.655616;90;;;;;;;
Stylolite Interface;233.6738204;90;;;;;;;
Stylolite Interface;57.01570298;90;;;;;;;
Stylolite Interface;57.01570298;90;;;;;;;
Stylolite Interface;57.04901049;90;;;;;;;
Stylolite Interface;57.04901049;90;;;;;;;
Stylolite Interface;43.67857665;90;;;;;;;
Stylolite Interface;43.67857665;90;;;;;;;
